sample_kind,horizon_h,event_id,event_quality_x,target_fog_family,target_fg,target_mifg,target_br,lead_to_event_min,timestamp,year,month,hour_utc,auto,t_c,td_c,spread_c,rh_pct,wind_dir_deg,wind_kt,gust_kt,visibility_m,qnh_hpa,ceiling_ft,vv_ft,cloud_total_oktas,cloud_low_oktas,current_br,current_mifg,current_fog_truth,current_precip,trail6_obs,trail6_precip_obs,ceiling_slope_1h,median_wind_1h,min_ceiling_1h,min_spread_1h,min_vis_1h,obs_1h,spread_slope_1h,vis_slope_1h,ceiling_slope_3h,median_wind_3h,min_ceiling_3h,min_spread_3h,min_vis_3h,obs_3h,spread_slope_3h,vis_slope_3h,ceiling_slope_6h,median_wind_6h,min_ceiling_6h,min_spread_6h,min_vis_6h,obs_6h,spread_slope_6h,vis_slope_6h,synop_temperature_c,synop_dew_point_c,synop_spread_c,synop_relative_humidity_pct,synop_wind_direction_deg,synop_wind_speed_ms,synop_visibility_m,synop_cloud_base_m_agl,synop_total_cloud_oktas,synop_present_weather_code,synop_teacher_br,synop_teacher_shallow_fog,synop_teacher_fg,synop_age_min,event_onset,event_last_positive,event_onset_previous_clear,event_dissipation_next_clear,event_positive_span_h,event_quality_y,event_min_visibility_m
pre_event_6h,6,1,low,1,0,1,0,360.000,2020-04-21T22:00:00Z,2020,4,22,0,6.800,-0.430,7.230,60.000,20.000,8.000,,10000.000,1027.000,,,0.000,0.000,0,0,0,0,13,0,,14.000,,7.230,10000.000,3,-0.280,0.000,,12.000,,7.230,10000.000,7,-0.424,-0.000,,12.000,,7.230,10000.000,13,-1.480,0.000,6.800,-0.400,7.200,60.100,20.000,4.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-04-22T04:00:00Z,2020-04-22T04:30:00Z,2020-04-21T22:00:00Z,2020-04-22T05:00:00Z,0.500,low,10000.000
control,6,0,control,0,0,0,0,,2020-04-22T22:00:00Z,2020,4,22,0,7.200,0.180,7.020,61.000,350.000,6.000,,10000.000,1025.000,,,0.000,0.000,0,0,0,0,13,0,,6.000,,6.790,10000.000,3,-0.210,0.000,,6.000,,6.790,10000.000,7,-0.429,-0.000,,10.000,,6.790,10000.000,13,-1.614,0.000,7.200,0.200,7.000,61.100,350.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,,,,,,,
pre_event_6h,6,3,low,1,0,1,0,360.000,2020-05-07T22:00:00Z,2020,5,22,0,9.200,3.180,6.020,66.000,250.000,8.000,,10000.000,1019.000,,,4.000,4.000,0,0,0,0,13,0,,10.000,,6.020,10000.000,3,-0.690,0.000,,8.000,,6.020,10000.000,7,-1.271,-0.000,,10.000,,6.020,10000.000,13,-1.593,0.000,9.200,3.100,6.100,65.600,250.000,4.000,10000.000,3000.000,4.000,,False,False,False,0.000,2020-05-08T04:00:00Z,2020-05-08T04:30:00Z,2020-05-07T22:30:00Z,2020-05-08T05:00:00Z,0.500,low,10000.000
control,6,0,control,0,0,0,0,,2020-05-11T19:00:00Z,2020,5,19,0,3.400,1.120,2.280,85.000,340.000,22.000,36.000,7000.000,1002.000,800.000,,8.000,6.000,0,0,0,1,14,12,0.000,20.000,800.000,2.150,7000.000,3,0.130,0.000,-42.857,20.000,800.000,2.150,6000.000,7,-0.082,-142.857,-50.853,20.000,800.000,2.150,6000.000,14,-0.240,-759.867,3.400,1.000,2.400,84.300,340.000,11.000,7000.000,250.000,8.000,60.000,False,False,False,0.000,,,,,,,
control,1,0,control,0,0,0,0,,2020-05-26T00:00:00Z,2020,5,0,0,9.600,7.880,1.720,89.000,350.000,10.000,,10000.000,1029.000,4000.000,,7.000,3.000,0,0,0,0,13,0,-8000.000,10.000,4000.000,1.720,10000.000,3,-0.870,0.000,-8000.000,8.000,4000.000,1.720,10000.000,7,-0.244,-0.000,-8000.000,6.000,4000.000,1.720,10000.000,13,-0.564,0.000,9.600,7.900,1.700,89.100,350.000,5.000,10000.000,150.000,7.000,35.000,False,False,False,0.000,,,,,,,
pre_event_6h,6,4,high,1,1,0,1,360.000,2020-05-26T19:00:00Z,2020,5,19,0,13.400,8.250,5.150,71.000,360.000,6.000,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,14,0,,6.000,,5.150,10000.000,3,-1.610,0.000,,6.000,,5.150,10000.000,7,-0.865,-0.000,227.062,8.000,2100.000,5.150,10000.000,14,-0.087,-0.000,13.400,8.300,5.100,71.300,0.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
pre_event_3h,3,4,high,1,1,0,1,180.000,2020-05-26T22:00:00Z,2020,5,22,0,10.000,7.250,2.750,83.000,,,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,13,0,,6.000,,2.750,10000.000,3,-0.560,0.000,,6.000,,2.750,10000.000,7,-0.808,-0.000,,6.000,,2.750,10000.000,13,-0.977,0.000,10.000,7.300,2.700,83.300,330.000,3.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
pre_event_1h,1,4,high,1,1,0,1,60.000,2020-05-27T00:00:00Z,2020,5,0,0,8.100,6.400,1.700,89.000,330.000,8.000,,10000.000,1032.000,,,0.000,0.000,0,0,0,0,13,0,,4.000,,1.700,10000.000,3,-0.350,0.000,,6.000,,1.700,10000.000,7,-0.546,-0.000,,6.000,,1.700,10000.000,13,-0.806,0.000,8.100,6.400,1.700,89.000,330.000,4.000,10000.000,3000.000,0.000,,False,False,False,0.000,2020-05-27T01:00:00Z,2020-05-27T06:00:00Z,2020-05-27T00:30:00Z,2020-05-27T06:30:00Z,5.000,high,200.000
control,6,0,control,0,0,0,0,,2020-05-28T22:00:00Z,2020,5,22,0,9.900,3.180,6.720,63.000,330.000,16.000,,10000.000,1026.000,,,2.000,2.000,0,0,0,0,13,0,,12.000,,6.720,10000.000,3,-0.960,0.000,,12.000,,6.720,10000.000,7,-1.256,-0.000,,14.000,20000.000,6.720,10000.000,13,-0.340,0.000,9.900,3.200,6.700,63.100,330.000,8.000,10000.000,3000.000,2.000,,False,False,False,0.000,,,,,,,
control,3,0,control,0,0,0,0,,2020-05-31T22:00:00Z,2020,5,22,0,12.600,5.510,7.090,62.000,350.000,14.000,,10000.000,1020.000,,,0.000,0.000,0,0,0,0,13,0,,12.000,,7.090,10000.000,3,-1.010,0.000,,12.000,,7.090,10000.000,7,-1.441,-0.000,,14.000,,7.090,10000.000,13,-1.503,0.000,12.600,5.500,7.100,62.000,350.000,7.000,10000.000,3000.000,0.000,,False,False,False,0.000,,,,,,,
